Matrix,Matrix_Density,Matrix_Strenth,%Matrix,Density_R1,Strenth_R1,R1,R1%,R1_Size,Density_R2,Strenth_R2,R2,R2%,R2_Size,Stir_Speed,Stir_Time,Mix_Temp,Mould_Preheat,UTS,Porosity,Therotical Density,Exp Density
 AA6061,2.72,310,80,2.17,,Fly Ash,15,50.05,0.781,,Rice Husk ,5,,425,10,680,525,390,,,
 AA6061,2.72,310,80,2.17,,Fly Ash,10,50.05,0.781,,Rice Husk ,10,,425,10,680,525,410,,,
 AA6061,2.72,310,80,2.17,,Fly Ash,5,50.05,0.781,,Rice Husk ,15,,425,10,680,525,386,,,
 AA6061,2.71,260,100,3.177,137.86,SiC,0,37,3.73,575,Al2O3,0,37,650,10,750,,106.1,,,
 AA6061,2.71,260,95,3.177,137.86,SiC,5,37,3.73,575,Al2O3,0,37,650,10,750,,108.8,,,
 AA6061,2.71,260,93,3.177,137.86,SiC,7,37,3.73,575,Al2O3,0,37,650,10,750,,121.4,,,
 AA6061,2.71,260,90,3.177,137.86,SiC,7,37,3.73,575,Al2O3,3,37,650,10,750,,134.3,,,
 AA6061,2.71,260,100,3.177,137.86,SiC,0,,3.73,575,Al2O3,0,,,,,,105,,,
 AA6061,2.71,260,85,3.177,137.86,SiC,15,,3.73,575,Al2O3,0,,,,,,124,,,
 AA6061,2.71,260,85,3.177,137.86,SiC,12.5,,3.73,575,Al2O3,2.5,,,,,,135,,,
 AA6061,2.71,260,85,3.177,137.86,SiC,10,,3.73,575,Al2O3,5,,,,,,140,,,
 AA6061,2.71,260,85,3.177,137.86,SiC,7.5,,3.73,575,Al2O3,7.5,,,,,,149,,,
 AA6061,2.71,260,85,3.177,137.86,SiC,5,,3.73,575,Al2O3,10,,,,,,139,,,
 AA6061,2.71,260,85,3.177,137.86,SiC,2.5,,3.73,575,Al2O3,12.5,,,,,,132,,,
 AA6061,2.71,260,85,3.177,137.86,SiC,0,,3.73,575,Al2O3,15,,,,,,125,,,
 AA6061,2.71,110,97,5.26,211,Fe2O3,2,45,4.23,350.4,TiO2,1,40,500,6,850,,62.86,3.80952381,2.73,2.626
 AA6061,2.71,110,95,5.26,211,Fe2O3,2,45,4.23,350.4,TiO2,3,40,500,6,850,,71.2,4.130434783,2.76,2.646
 AA6061,2.71,110,93,5.26,211,Fe2O3,2,45,4.23,350.4,TiO2,5,40,500,6,850,,108.65,4.604316547,2.78,2.652
 AA6061,2.71,110,96,5.26,211,Fe2O3,3,45,4.23,350.4,TiO2,1,40,500,6,850,,117.8,2.727272727,2.75,2.675
 AA6061,2.71,110,94,5.26,211,Fe2O3,3,45,4.23,350.4,TiO2,3,40,500,6,850,,124.5,3.321299639,2.77,2.678
 AA6061,2.71,110,92,5.26,211,Fe2O3,3,45,4.23,350.4,TiO2,5,40,500,6,850,,144.04,3.799283154,2.79,2.684
 AA6061,2.71,110,95,5.26,211,Fe2O3,4,45,4.23,350.4,TiO2,1,40,500,6,850,,96.06,3.862815884,2.77,2.663
 AA6061,2.71,110,93,5.26,211,Fe2O3,4,45,4.23,350.4,TiO2,3,40,500,6,850,,150.6,3.381294964,2.78,2.686
 AA6061,2.71,110,91,5.26,211,Fe2O3,4,45,4.23,350.4,TiO2,5,40,500,6,850,,160.2,2.285714286,2.8,2.736
AA2014,3,345,100,3.177,137.86,SiC,0,25,2.17,,Fly Ash,0,,,5,850,,48.73,,,
AA2014,3,345,90,3.177,137.86,SiC,2,25,2.17,,Fly Ash,8,,,5,850,,71.27,,,
AA2014,3,345,90,3.177,137.86,SiC,4,25,2.17,,Fly Ash,6,,,5,850,,81.69,,,
AA2014,3,345,90,3.177,137.86,SiC,6,25,2.17,,Fly Ash,4,,,5,850,,113.24,,,
AA2024,3,370,100,3.177,137.86,Sic,0,,2.17,,Fly ash,0,,400,2,770,200,,1.119402985,2.68,2.65
AA2024,3,370,95,3.177,137.86,Sic,2.5,,2.17,,Fly ash,2.5,,400,2,770,200,,1.167315175,2.57,2.54
AA2024,3,370,90,3.177,137.86,Sic,5,,2.17,,Fly ash,5,,400,2,770,200,,2,2.5,2.45
AA2024,3,370,85,3.177,137.86,Sic,7.5,,2.17,,Fly ash,7.5,,400,2,770,200,,2.040816327,2.45,2.4
AA359.0,2.6,265,95,3.177,137.86,SiC,5,,2.17,,Fly Ash,0,,300,5,720,,171.9,,,
AA359.0,2.6,265,92.5,3.177,137.86,SiC,5,,2.17,,Fly Ash,2.5,,300,5,720,,211.4,,,
AA359.0,2.6,265,90,3.177,137.86,SiC,5,,2.17,,Fly Ash,5,,300,5,720,,187.86,,,
AA359.0,2.6,265,87.5,3.177,137.86,SiC,5,,2.17,,Fly Ash,7.5,,300,5,720,,182.87,,,
AA359.0,2.6,265,85,3.177,137.86,SiC,5,,2.17,,Fly Ash,10,,300,5,720,,174.08,,,
AA5052,2.68,288,100,2.266,18,Graphite,0,75,15.63,350,WC,0,75,,12,605,350,228.143,,,2.705
AA5052,2.68,288,91,2.266,18,Graphite,4,75,15.63,350,WC,5,75,,12,605,350,252.214,,,4.632
AA5052,2.68,288,86,2.266,18,Graphite,4,75,15.63,350,WC,10,75,,12,605,350,262.966,,,5.22
AA5052,2.68,288,91,2.266,18,Graphite,4,75,3.21,290,SiC,5,75,,12,605,350,185.376,,,2.318
AA5052,2.68,288,86,2.266,18,Graphite,4,75,3.21,290,SiC,10,75,,12,605,350,220.078,,,2.213
AA5052,2.68,288,100,2.065,18,Graphite,0,,2.579,350,B4C,0,,450,5,800,,165.69,,,
AA5052,2.68,288,90,2.065,18,Graphite,8,,2.579,350,B4C,2,,450,5,800,,171.876,,,
AA5052,2.68,288,90,2.065,18,Graphite,6,,2.579,350,B4C,4,,450,5,800,,177.84,,,
AA5052,2.68,288,90,2.065,18,Graphite,4,,2.579,350,B4C,6,,450,5,800,,186.73,,,
AA5052,2.68,288,90,2.065,18,Graphite,2,,2.579,350,B4C,8,,450,5,800,,173.78,,,
AA6063,2.7,195,95,2.065,18,Graphite,2.5,40,3.177,137.86,SiC,2.5,37,500,10,760,300,164.36,,,2.66
AA6063,2.7,195,90,2.065,18,Graphite,5,40,3.177,137.86,SiC,5,37,500,10,760,300,190.48,,,2.64
AA6063,2.7,195,85,2.065,18,Graphite,7.5,40,3.177,137.86,SiC,7.5,37,500,10,760,300,200.32,,,2.63
AA6063,2.7,195,95,2.065,18,Graphite,0,40,3.177,137.86,SiC,5,37,500,10,760,300,142.46,,,2.7
AA6063,2.7,195,90,2.065,18,Graphite,0,40,3.177,137.86,SiC,10,37,500,10,760,300,160.84,,,2.71
AA6063,2.7,195,85,2.065,18,Graphite,0,40,3.177,137.86,SiC,15,37,500,10,760,300,184.26,,,2.73
AA6063,2.7,195,100,2.065,18,Graphite,0,20,4.5,280,TiB2,0,44,250,6,650,150,26.89,,,
AA6063,2.7,195,100,2.065,18,Graphite,0,20,4.5,280,TiB2,0,44,250,6,650,150,51.5,,,
AA6063,2.7,195,100,2.065,18,Graphite,0,20,4.5,280,TiB2,0,44,250,6,650,150,42.29,,,
AA6063,2.7,195,99,2.065,18,Graphite,0,20,4.5,280,TiB2,1,44,250,6,650,150,48.17,,,
AA6063,2.7,195,99,2.065,18,Graphite,0,20,4.5,280,TiB2,1,44,250,6,650,150,29.78,,,
AA6063,2.7,195,99,2.065,18,Graphite,0,20,4.5,280,TiB2,1,44,250,6,650,150,42.32,,,
AA6063,2.7,195,98,2.065,18,Graphite,1,20,4.5,280,TiB2,1,44,250,6,650,150,45.67,,,
AA6063,2.7,195,98,2.065,18,Graphite,1,20,4.5,280,TiB2,1,44,250,6,650,150,44.33,,,
AA6063,2.7,195,98,2.065,18,Graphite,1,20,4.5,280,TiB2,1,44,250,6,650,150,42.4,,,
AA6063,2.7,195,98,2.065,18,Graphite,0,20,4.5,280,TiB2,2,44,250,6,650,150,41.7,,,
AA6063,2.7,195,98,2.065,18,Graphite,0,20,4.5,280,TiB2,2,44,250,6,650,150,52.67,,,
AA6063,2.7,195,98,2.065,18,Graphite,0,20,4.5,280,TiB2,2,44,250,6,650,150,43.04,,,
